id,world,arm,group,query,metric,truth_mean,estimate,mae,source_mean_mae,width,coverage
EQ-W01--Opaque,W01,Opaque,other_nine,Q01,pH_normalized,0.25995042324066164,0.2535,0.00645042324066164,0.006358965237935388,0.013000000000000012,0.6
EQ-W01--Opaque,W01,Opaque,other_nine,Q02,pH_normalized,0.2609623193740845,0.2535,0.007462319374084481,0.007370861371358228,0.013000000000000012,0.2
EQ-W01--Opaque,W01,Opaque,other_nine,Q04,pH_normalized,0.2780984163284302,0.268,0.010098416328430171,0.02450695832570393,0.035999999999999976,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q05,pH_normalized,0.25356701016426086,0.2535,6.701016426086115e-05,2.4447838465391225e-05,0.01100000000000001,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q06,pH_normalized,0.2541127324104309,0.2535,0.0006127324104309162,0.0005212744077046638,0.01100000000000001,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q07,pH_normalized,0.25309552550315856,0.2535,0.0004044744968414449,0.0004959324995676972,0.01100000000000001,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q10,pH_normalized,0.25409920811653136,0.2535,0.0005992081165313579,0.0005077501138051055,0.014000000000000012,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q11,pH_normalized,0.25375038385391235,0.2537,5.0383853912372434e-05,0.00015892585118609803,0.009000000000000008,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q12,pH_normalized,0.2540795147418976,0.254,7.951474189760166e-05,0.00048805673917134973,0.009000000000000008,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q01,acid_dissociation_fraction,0.0861680656671524,0.071,0.015168065667152411,0.015018463445206479,0.05500000000000001,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q02,acid_dissociation_fraction,0.08584973365068435,0.071,0.014849733650684357,0.014700131428738425,0.05500000000000001,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q04,acid_dissociation_fraction,0.14472221136093139,0.108,0.03672221136093139,0.07357260913898546,0.13,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q05,acid_dissociation_fraction,0.06971781402826309,0.071,0.0012821859717369044,0.001431788193682837,0.045,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q06,acid_dissociation_fraction,0.07383093535900116,0.071,0.0028309353590011688,0.0026813331370552362,0.045,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q07,acid_dissociation_fraction,0.07478502839803695,0.071,0.0037850283980369603,0.003635426176091028,0.045,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q10,acid_dissociation_fraction,0.06969298869371414,0.071,0.0013070113062858546,0.0014566135282317871,0.05500000000000001,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q11,acid_dissociation_fraction,0.06843323409557342,0.069,0.000566765904426586,0.0027163681263725065,0.030000000000000006,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q12,acid_dissociation_fraction,0.07172849476337433,0.071,0.0007284947633743322,0.0005788925414283996,0.033999999999999996,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q01,precipitation_signal,0.14947408735752105,0.155,0.005525912642478953,0.0060668197770913646,0.06,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q02,precipitation_signal,0.15429877936840058,0.155,0.0007012206315994141,0.0012421277662118257,0.06,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q04,precipitation_signal,0.13666812479496002,0.149,0.012331875205039977,0.018872782339652394,0.05500000000000001,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q05,precipitation_signal,0.15555851757526398,0.156,0.0004414824247360172,1.7610440651572024e-05,0.04999999999999999,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q06,precipitation_signal,0.1525018483400345,0.156,0.003498151659965504,0.0030390587945779146,0.04999999999999999,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q07,precipitation_signal,0.14945878982543945,0.156,0.006541210174560552,0.006082117309172963,0.04999999999999999,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q10,precipitation_signal,0.15899649262428284,0.164,0.00500350737571717,0.0034555854896704263,0.12000000000000001,1.0
EQ-W01--Opaque,W01,Opaque,other_nine,Q11,precipitation_signal,0.15260404646396636,0.151,0.0016040464639663632,0.002936860670646052,0.022999999999999993,0.8
EQ-W01--Opaque,W01,Opaque,other_nine,Q12,precipitation_signal,0.15524907112121583,0.16,0.004750928878784172,0.00029183601339657916,0.02300000000000002,0.8
EQ-W01--Opaque,W01,Opaque,three_most_dilute,Q03,pH_normalized,0.313688725233078,0.311,0.0026887252330780043,0.06009726723035175,0.07,1.0
EQ-W01--Opaque,W01,Opaque,three_most_dilute,Q08,pH_normalized,0.3627348721027374,0.359,0.00373487210273743,0.10914341410001116,0.12,1.0
EQ-W01--Opaque,W01,Opaque,three_most_dilute,Q09,pH_normalized,0.3121938407421112,0.307,0.005193840742111211,0.05860238273938495,0.07,1.0
