id,world,arm,budget,query,reference,prediction,error,centred_error
C-W01-B12-E-Opaque,W01,Opaque,12,Q01,0.9898745131732273,0.98,-0.009874513173227295,0.00260060922584604
C-W01-B12-E-Opaque,W01,Opaque,12,Q02,0.988620635720469,0.96,-0.028620635720469023,-0.016145513321395688
C-W01-B12-E-Opaque,W01,Opaque,12,Q03,0.9779695110616194,0.98,0.002030488938380537,0.014505611337453872
C-W01-B12-E-Opaque,W01,Opaque,12,Q04,0.9861019815068828,0.98,-0.006101981506882792,0.006373140892190543
C-W01-B12-E-Opaque,W01,Opaque,12,Q05,0.9854955510380558,0.98,-0.005495551038055768,0.006979571361017567
C-W01-B12-E-Opaque,W01,Opaque,12,Q06,0.9807049148987965,0.95,-0.030704914898796565,-0.01822979249972323
C-W01-B12-E-Opaque,W01,Opaque,12,Q07,0.9848298951673717,0.98,-0.004829895167371756,0.007645227231701579
C-W01-B12-E-Opaque,W01,Opaque,12,Q08,0.9755657281019747,0.98,0.004434271898025255,0.01690939429709859
C-W01-B12-E-Opaque,W01,Opaque,12,Q09,0.9992127405246362,0.98,-0.019212740524636174,-0.006737618125562839
C-W01-B12-E-Opaque,W01,Opaque,12,Q10,0.9851397168052985,0.98,-0.0051397168052985664,0.007335405593774769
C-W01-B12-E-Opaque,W01,Opaque,12,Q11,0.9861049741021831,0.98,-0.006104974102183136,0.006370148296890199
C-W01-B12-E-Opaque,W01,Opaque,12,Q12,0.9800813066883662,0.94,-0.04008130668836629,-0.027606184289292957
C-W01-B12-E-Aligned,W01,Aligned,12,Q01,0.9898745131732273,0.96,-0.029874513173227313,0.06843394255917945
C-W01-B12-E-Aligned,W01,Aligned,12,Q02,0.988620635720469,0.91,-0.07862063572046896,0.019687820011937807
C-W01-B12-E-Aligned,W01,Aligned,12,Q03,0.9779695110616194,0.86,-0.11796951106161946,-0.019661055329212695
C-W01-B12-E-Aligned,W01,Aligned,12,Q04,0.9861019815068828,0.89,-0.09610198150688276,0.002206474225524002
