state_id,cluster_id,task,model,repeat,condition,candidate_id,status,failure_type,raw_regret,failure_aware_regret,near_optimal,top1
electrochemical-conversion--w01--gpt--r2,electrochemical-conversion--w01,electrochemical-conversion,gpt,2,L-X,c04,completed,,0.011573255062103271,0.011573255062103271,False,False
electrochemical-conversion--w01--gpt--r2,electrochemical-conversion--w01,electrochemical-conversion,gpt,2,F-X,c04,completed,,0.011573255062103271,0.011573255062103271,False,False
electrochemical-conversion--w01--gpt--r1,electrochemical-conversion--w01,electrochemical-conversion,gpt,1,L-X,c04,completed,,0.011573255062103271,0.011573255062103271,False,False
electrochemical-conversion--w01--gpt--r1,electrochemical-conversion--w01,electrochemical-conversion,gpt,1,F-X,c04,completed,,0.011573255062103271,0.011573255062103271,False,False
electrochemical-conversion--w01--deepseek--r1,electrochemical-conversion--w01,electrochemical-conversion,deepseek,1,L-X,c04,completed,,0.011573255062103271,0.011573255062103271,False,False
electrochemical-conversion--w01--deepseek--r1,electrochemical-conversion--w01,electrochemical-conversion,deepseek,1,F-X,c04,completed,,0.011573255062103271,0.011573255062103271,False,False
electrochemical-conversion--w01--deepseek--r2,electrochemical-conversion--w01,electrochemical-conversion,deepseek,2,L-X,c04,completed,,0.011573255062103271,0.011573255062103271,False,False
electrochemical-conversion--w01--deepseek--r2,electrochemical-conversion--w01,electrochemical-conversion,deepseek,2,F-X,c04,completed,,0.011573255062103271,0.011573255062103271,False,False
,electrochemical-conversion--w01,electrochemical-conversion,,,nearest,c06,completed,,0.0,0.0,True,True
electrochemical-conversion--w02--deepseek--r1,electrochemical-conversion--w02,electrochemical-conversion,deepseek,1,L-X,c02,completed,,0.0695173442363739,0.0695173442363739,False,False
electrochemical-conversion--w02--deepseek--r1,electrochemical-conversion--w02,electrochemical-conversion,deepseek,1,F-X,c04,completed,,0.010129988193511963,0.010129988193511963,False,False
electrochemical-conversion--w02--gpt--r1,electrochemical-conversion--w02,electrochemical-conversion,gpt,1,L-X,c06,completed,,0.0,0.0,True,True
