cluster_id,task,contrast,nested_state_count,mean_difference,completed_pair_count,completed_only_difference
electrochemical-conversion--w01,electrochemical-conversion,L_minus_none,4,-0.32967792451381683,4,-0.32967792451381683
electrochemical-conversion--w01,electrochemical-conversion,raw_minus_none,4,-0.33546455204486847,4,-0.33546455204486847
electrochemical-conversion--w01,electrochemical-conversion,F_minus_none,4,-0.32967792451381683,4,-0.32967792451381683
electrochemical-conversion--w01,electrochemical-conversion,L_minus_raw,4,0.005786627531051636,4,0.005786627531051636
electrochemical-conversion--w01,electrochemical-conversion,F_minus_raw,4,0.005786627531051636,4,0.005786627531051636
electrochemical-conversion--w01,electrochemical-conversion,F_minus_L,4,0.0,4,0.0
electrochemical-conversion--w02,electrochemical-conversion,L_minus_none,4,-0.22511380165815353,4,-0.22511380165815353
electrochemical-conversion--w02,electrochemical-conversion,raw_minus_none,4,-0.242493137717247,4,-0.242493137717247
electrochemical-conversion--w02,electrochemical-conversion,F_minus_none,4,-0.23742814362049103,4,-0.23742814362049103
electrochemical-conversion--w02,electrochemical-conversion,L_minus_raw,4,0.017379336059093475,4,0.017379336059093475
electrochemical-conversion--w02,electrochemical-conversion,F_minus_raw,4,0.0050649940967559814,4,0.0050649940967559814
electrochemical-conversion--w02,electrochemical-conversion,F_minus_L,4,-0.012314341962337494,4,-0.012314341962337494
electrochemical-conversion--w03,electrochemical-conversion,L_minus_none,4,-0.23747238516807556,4,-0.23747238516807556
electrochemical-conversion--w03,electrochemical-conversion,raw_minus_none,4,-0.17143175937235355,4,-0.17143175937235355
electrochemical-conversion--w03,electrochemical-conversion,F_minus_none,4,-0.24283628165721893,4,-0.24283628165721893
electrochemical-conversion--w03,electrochemical-conversion,L_minus_raw,4,-0.06604062579572201,4,-0.06604062579572201
electrochemical-conversion--w03,electrochemical-conversion,F_minus_raw,4,-0.07140452228486538,4,-0.07140452228486538
electrochemical-conversion--w03,electrochemical-conversion,F_minus_L,4,-0.005363896489143372,4,-0.005363896489143372
electrochemical-conversion--w04,electrochemical-conversion,L_minus_none,4,-0.26449487265199423,4,-0.26449487265199423
electrochemical-conversion--w04,electrochemical-conversion,raw_minus_none,4,-0.2764023980125785,4,-0.2764023980125785
electrochemical-conversion--w04,electrochemical-conversion,F_minus_none,4,-0.2764023980125785,4,-0.2764023980125785
electrochemical-conversion--w04,electrochemical-conversion,L_minus_raw,4,0.011907525360584259,4,0.011907525360584259
electrochemical-conversion--w04,electrochemical-conversion,F_minus_raw,4,0.0,4,0.0
electrochemical-conversion--w04,electrochemical-conversion,F_minus_L,4,-0.011907525360584259,4,-0.011907525360584259
electrochemical-conversion--w05,electrochemical-conversion,L_minus_none,4,-0.24010708136484027,4,-0.24010708136484027
electrochemical-conversion--w05,electrochemical-conversion,raw_minus_none,4,-0.24919838411733508,4,-0.24919838411733508
electrochemical-conversion--w05,electrochemical-conversion,F_minus_none,4,-0.15512578515335917,4,-0.15512578515335917
electrochemical-conversion--w05,electrochemical-conversion,L_minus_raw,4,0.009091302752494812,4,0.009091302752494812
electrochemical-conversion--w05,electrochemical-conversion,F_minus_raw,4,0.0940725989639759,4,0.0940725989639759
electrochemical-conversion--w05,electrochemical-conversion,F_minus_L,4,0.0849812962114811,4,0.0849812962114811
reaction-to-crystallization--w01,reaction-to-crystallization,L_minus_none,4,-0.012916117906570435,4,-0.012916117906570435
reaction-to-crystallization--w01,reaction-to-crystallization,raw_minus_none,4,-0.012916117906570435,4,-0.012916117906570435
reaction-to-crystallization--w01,reaction-to-crystallization,F_minus_none,4,-0.012916117906570435,4,-0.012916117906570435
reaction-to-crystallization--w01,reaction-to-crystallization,L_minus_raw,4,0.0,4,0.0
reaction-to-crystallization--w01,reaction-to-crystallization,F_minus_raw,4,0.0,4,0.0
reaction-to-crystallization--w01,reaction-to-crystallization,F_minus_L,4,0.0,4,0.0
reaction-to-crystallization--w02,reaction-to-crystallization,L_minus_none,4,0.0,4,0.0
reaction-to-crystallization--w02,reaction-to-crystallization,raw_minus_none,4,-0.009888514876365662,4,-0.009888514876365662
