group_id,evidence_role,grid_query_count,task_id,world_seed,spearman_rank_correlation,normalized_regret,rank_gate_passed,top1,within_0_01_of_best
w2_51_96_grid_fresh_formal_preparation,fresh_formal_preparation,96,electrochemical-conversion,636790627,0.8095238095238095,0.016528424581923523,True,0,0
w2_51_96_grid_fresh_formal_preparation,fresh_formal_preparation,96,electrochemical-conversion,719869860,0.8095238095238095,0.06308780619323405,True,0,0
w2_51_96_grid_fresh_formal_preparation,fresh_formal_preparation,96,electrochemical-conversion,836245547,0.9523809523809523,0.0,True,1,1
w2_51_96_grid_fresh_formal_preparation,fresh_formal_preparation,96,electrochemical-conversion,367466803,0.9761904761904762,0.07445529452174267,True,0,0
w2_51_96_grid_fresh_formal_preparation,fresh_formal_preparation,96,electrochemical-conversion,855385889,0.8095238095238095,0.07183110845072457,True,0,0
w2_51_96_grid_fresh_formal_preparation,fresh_formal_preparation,96,reaction-to-crystallization,636790627,0.9047619047619048,0.06768962339752138,True,0,0
w2_51_96_grid_fresh_formal_preparation,fresh_formal_preparation,96,reaction-to-crystallization,719869860,0.8333333333333334,0.006011586164320883,True,0,1
w2_51_96_grid_fresh_formal_preparation,fresh_formal_preparation,96,reaction-to-crystallization,836245547,0.7380952380952381,0.028825638095964782,False,0,1
w2_52_320_grid_exposed_construction,exposed_construction_only,320,electrochemical-conversion,762707071,0.9047619047619048,0.0,True,1,1
w2_52_320_grid_exposed_construction,exposed_construction_only,320,electrochemical-conversion,241995082,0.9047619047619048,0.023285740559531233,True,0,0
w2_52_320_grid_exposed_construction,exposed_construction_only,320,electrochemical-conversion,2,0.8571428571428571,0.0,True,1,1
w2_52_320_grid_exposed_construction,exposed_construction_only,320,reaction-to-crystallization,836245547,0.9285714285714286,0.0,True,1,1
w2_52_320_grid_exposed_construction,exposed_construction_only,320,reaction-to-crystallization,468887863,0.9285714285714286,0.010162311177110516,True,0,1
w2_52_320_grid_exposed_construction,exposed_construction_only,320,reaction-to-crystallization,2,0.9761904761904762,0.003233928206547687,True,0,1
w2_52_320_grid_exposed_construction,exposed_construction_only,320,reaction-safety-constrained,3,1.0,0.0,True,1,1
w2_52_320_grid_fresh_prospective,fresh_prospective_qualification,320,electrochemical-conversion,799649867,0.7142857142857143,0.0,False,1,1
