state_id,cluster_id,task,model,repeat,condition,status,candidate_id,failure_type,raw_regret,failure_aware_regret,near_optimal,top1
electrochemical-conversion--w01--deepseek--r2,electrochemical-conversion--w01,electrochemical-conversion,deepseek,2,F-A,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w01--deepseek--r2,electrochemical-conversion--w01,electrochemical-conversion,deepseek,2,F-X,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w01--deepseek--r2,electrochemical-conversion--w01,electrochemical-conversion,deepseek,2,L-A,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w01--deepseek--r2,electrochemical-conversion--w01,electrochemical-conversion,deepseek,2,L-X,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w01--gpt--r1,electrochemical-conversion--w01,electrochemical-conversion,gpt,1,F-A,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w01--gpt--r1,electrochemical-conversion--w01,electrochemical-conversion,gpt,1,F-X,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w01--gpt--r1,electrochemical-conversion--w01,electrochemical-conversion,gpt,1,L-A,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w01--gpt--r1,electrochemical-conversion--w01,electrochemical-conversion,gpt,1,L-X,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w01--deepseek--r1,electrochemical-conversion--w01,electrochemical-conversion,deepseek,1,L-A,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w01--deepseek--r1,electrochemical-conversion--w01,electrochemical-conversion,deepseek,1,L-X,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w01--deepseek--r1,electrochemical-conversion--w01,electrochemical-conversion,deepseek,1,F-A,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w01--deepseek--r1,electrochemical-conversion--w01,electrochemical-conversion,deepseek,1,F-X,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w01--gpt--r2,electrochemical-conversion--w01,electrochemical-conversion,gpt,2,L-A,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w01--gpt--r2,electrochemical-conversion--w01,electrochemical-conversion,gpt,2,L-X,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w01--gpt--r2,electrochemical-conversion--w01,electrochemical-conversion,gpt,2,F-A,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w01--gpt--r2,electrochemical-conversion--w01,electrochemical-conversion,gpt,2,F-X,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w02--deepseek--r1,electrochemical-conversion--w02,electrochemical-conversion,deepseek,1,F-A,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w02--deepseek--r1,electrochemical-conversion--w02,electrochemical-conversion,deepseek,1,F-X,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w02--deepseek--r1,electrochemical-conversion--w02,electrochemical-conversion,deepseek,1,L-A,completed,c04,,0.2028229981660843,0.2028229981660843,False,False
electrochemical-conversion--w02--deepseek--r1,electrochemical-conversion--w02,electrochemical-conversion,deepseek,1,L-X,completed,c04,,0.2028229981660843,0.2028229981660843,False,False
electrochemical-conversion--w02--gpt--r2,electrochemical-conversion--w02,electrochemical-conversion,gpt,2,F-A,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w02--gpt--r2,electrochemical-conversion--w02,electrochemical-conversion,gpt,2,F-X,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w02--gpt--r2,electrochemical-conversion--w02,electrochemical-conversion,gpt,2,L-A,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w02--gpt--r2,electrochemical-conversion--w02,electrochemical-conversion,gpt,2,L-X,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w02--deepseek--r2,electrochemical-conversion--w02,electrochemical-conversion,deepseek,2,L-A,completed,c07,,0.014546066522598267,0.014546066522598267,False,False
electrochemical-conversion--w02--deepseek--r2,electrochemical-conversion--w02,electrochemical-conversion,deepseek,2,L-X,completed,c07,,0.014546066522598267,0.014546066522598267,False,False
electrochemical-conversion--w02--deepseek--r2,electrochemical-conversion--w02,electrochemical-conversion,deepseek,2,F-A,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w02--deepseek--r2,electrochemical-conversion--w02,electrochemical-conversion,deepseek,2,F-X,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w02--gpt--r1,electrochemical-conversion--w02,electrochemical-conversion,gpt,1,L-A,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w02--gpt--r1,electrochemical-conversion--w02,electrochemical-conversion,gpt,1,L-X,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w02--gpt--r1,electrochemical-conversion--w02,electrochemical-conversion,gpt,1,F-A,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w02--gpt--r1,electrochemical-conversion--w02,electrochemical-conversion,gpt,1,F-X,completed,c06,,0.0,0.0,True,True
