state_id,cluster_id,task,model,repeat,condition,serial_position,call_id,status,candidate_id,failure_type,raw_regret,failure_aware_regret,near_optimal,top1
electrochemical-conversion--w01--gpt--r2,electrochemical-conversion--w01,electrochemical-conversion,gpt,2,F,1,electrochemical-conversion--w01--gpt--r2--F,completed,c04,,0.011573255062103271,0.011573255062103271,False,False
electrochemical-conversion--w01--gpt--r2,electrochemical-conversion--w01,electrochemical-conversion,gpt,2,none,2,electrochemical-conversion--w01--gpt--r2--none,completed,c05,,0.3902720510959625,0.3902720510959625,False,False
electrochemical-conversion--w01--gpt--r2,electrochemical-conversion--w01,electrochemical-conversion,gpt,2,raw,3,electrochemical-conversion--w01--gpt--r2--raw,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w01--gpt--r2,electrochemical-conversion--w01,electrochemical-conversion,gpt,2,L,4,electrochemical-conversion--w01--gpt--r2--L,completed,c04,,0.011573255062103271,0.011573255062103271,False,False
electrochemical-conversion--w01--gpt--r1,electrochemical-conversion--w01,electrochemical-conversion,gpt,1,L,1,electrochemical-conversion--w01--gpt--r1--L,completed,c04,,0.011573255062103271,0.011573255062103271,False,False
electrochemical-conversion--w01--gpt--r1,electrochemical-conversion--w01,electrochemical-conversion,gpt,1,F,2,electrochemical-conversion--w01--gpt--r1--F,completed,c04,,0.011573255062103271,0.011573255062103271,False,False
electrochemical-conversion--w01--gpt--r1,electrochemical-conversion--w01,electrochemical-conversion,gpt,1,none,3,electrochemical-conversion--w01--gpt--r1--none,completed,c05,,0.3902720510959625,0.3902720510959625,False,False
electrochemical-conversion--w01--gpt--r1,electrochemical-conversion--w01,electrochemical-conversion,gpt,1,raw,4,electrochemical-conversion--w01--gpt--r1--raw,completed,c04,,0.011573255062103271,0.011573255062103271,False,False
electrochemical-conversion--w01--deepseek--r1,electrochemical-conversion--w01,electrochemical-conversion,deepseek,1,none,1,electrochemical-conversion--w01--deepseek--r1--none,completed,c05,,0.3902720510959625,0.3902720510959625,False,False
electrochemical-conversion--w01--deepseek--r1,electrochemical-conversion--w01,electrochemical-conversion,deepseek,1,raw,2,electrochemical-conversion--w01--deepseek--r1--raw,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w01--deepseek--r1,electrochemical-conversion--w01,electrochemical-conversion,deepseek,1,L,3,electrochemical-conversion--w01--deepseek--r1--L,completed,c04,,0.011573255062103271,0.011573255062103271,False,False
electrochemical-conversion--w01--deepseek--r1,electrochemical-conversion--w01,electrochemical-conversion,deepseek,1,F,4,electrochemical-conversion--w01--deepseek--r1--F,completed,c04,,0.011573255062103271,0.011573255062103271,False,False
electrochemical-conversion--w01--deepseek--r2,electrochemical-conversion--w01,electrochemical-conversion,deepseek,2,raw,1,electrochemical-conversion--w01--deepseek--r2--raw,completed,c04,,0.011573255062103271,0.011573255062103271,False,False
electrochemical-conversion--w01--deepseek--r2,electrochemical-conversion--w01,electrochemical-conversion,deepseek,2,L,2,electrochemical-conversion--w01--deepseek--r2--L,completed,c04,,0.011573255062103271,0.011573255062103271,False,False
electrochemical-conversion--w01--deepseek--r2,electrochemical-conversion--w01,electrochemical-conversion,deepseek,2,F,3,electrochemical-conversion--w01--deepseek--r2--F,completed,c04,,0.011573255062103271,0.011573255062103271,False,False
electrochemical-conversion--w01--deepseek--r2,electrochemical-conversion--w01,electrochemical-conversion,deepseek,2,none,4,electrochemical-conversion--w01--deepseek--r2--none,completed,c07,,0.19418856501579285,0.19418856501579285,False,False
electrochemical-conversion--w02--deepseek--r1,electrochemical-conversion--w02,electrochemical-conversion,deepseek,1,raw,1,electrochemical-conversion--w02--deepseek--r1--raw,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w02--deepseek--r1,electrochemical-conversion--w02,electrochemical-conversion,deepseek,1,L,2,electrochemical-conversion--w02--deepseek--r1--L,completed,c02,,0.0695173442363739,0.0695173442363739,False,False
electrochemical-conversion--w02--deepseek--r1,electrochemical-conversion--w02,electrochemical-conversion,deepseek,1,F,3,electrochemical-conversion--w02--deepseek--r1--F,completed,c04,,0.010129988193511963,0.010129988193511963,False,False
electrochemical-conversion--w02--deepseek--r1,electrochemical-conversion--w02,electrochemical-conversion,deepseek,1,none,4,electrochemical-conversion--w02--deepseek--r1--none,completed,c07,,0.27808628231287,0.27808628231287,False,False
electrochemical-conversion--w02--gpt--r1,electrochemical-conversion--w02,electrochemical-conversion,gpt,1,F,1,electrochemical-conversion--w02--gpt--r1--F,completed,c04,,0.010129988193511963,0.010129988193511963,False,False
electrochemical-conversion--w02--gpt--r1,electrochemical-conversion--w02,electrochemical-conversion,gpt,1,none,2,electrochemical-conversion--w02--gpt--r1--none,completed,c03,,0.22367243468761444,0.22367243468761444,False,False
electrochemical-conversion--w02--gpt--r1,electrochemical-conversion--w02,electrochemical-conversion,gpt,1,raw,3,electrochemical-conversion--w02--gpt--r1--raw,completed,c04,,0.010129988193511963,0.010129988193511963,False,False
electrochemical-conversion--w02--gpt--r1,electrochemical-conversion--w02,electrochemical-conversion,gpt,1,L,4,electrochemical-conversion--w02--gpt--r1--L,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w02--deepseek--r2,electrochemical-conversion--w02,electrochemical-conversion,deepseek,2,L,1,electrochemical-conversion--w02--deepseek--r2--L,completed,c04,,0.010129988193511963,0.010129988193511963,False,False
electrochemical-conversion--w02--deepseek--r2,electrochemical-conversion--w02,electrochemical-conversion,deepseek,2,F,2,electrochemical-conversion--w02--deepseek--r2--F,completed,c04,,0.010129988193511963,0.010129988193511963,False,False
electrochemical-conversion--w02--deepseek--r2,electrochemical-conversion--w02,electrochemical-conversion,deepseek,2,none,3,electrochemical-conversion--w02--deepseek--r2--none,completed,c07,,0.27808628231287,0.27808628231287,False,False
electrochemical-conversion--w02--deepseek--r2,electrochemical-conversion--w02,electrochemical-conversion,deepseek,2,raw,4,electrochemical-conversion--w02--deepseek--r2--raw,completed,c06,,0.0,0.0,True,True
electrochemical-conversion--w02--gpt--r2,electrochemical-conversion--w02,electrochemical-conversion,gpt,2,none,1,electrochemical-conversion--w02--gpt--r2--none,completed,c05,,0.21038752794265747,0.21038752794265747,False,False
electrochemical-conversion--w02--gpt--r2,electrochemical-conversion--w02,electrochemical-conversion,gpt,2,raw,2,electrochemical-conversion--w02--gpt--r2--raw,completed,c04,,0.010129988193511963,0.010129988193511963,False,False
electrochemical-conversion--w02--gpt--r2,electrochemical-conversion--w02,electrochemical-conversion,gpt,2,L,3,electrochemical-conversion--w02--gpt--r2--L,completed,c04,,0.010129988193511963,0.010129988193511963,False,False
